danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.5,0.189,7,-17.563,1,0.0307,0.21,3.08e-05,0.129,0.587,93.259,audio_features,3ZnlYvqCnjJ7OeZhVKkWPg,spotify:track:3ZnlYvqCnjJ7OeZhVKkWPg,https://api.spotify.com/v1/tracks/3ZnlYvqCnjJ7OeZhVKkWPg,https://api.spotify.com/v1/audio-analysis/3ZnlYvqCnjJ7OeZhVKkWPg,239067,4,Honey - 1991 - Remaster,Bobby Goldsboro
0.67,0.623,10,-9.65,1,0.0348,0.41,0.0,0.145,0.96,126.334,audio_features,49oQUbmhXqjGb850ERxtfb,spotify:track:49oQUbmhXqjGb850ERxtfb,https://api.spotify.com/v1/tracks/49oQUbmhXqjGb850ERxtfb,https://api.spotify.com/v1/audio-analysis/49oQUbmhXqjGb850ERxtfb,178867,4,People Got to Be Free - Single Version,The Rascals
0.647,0.164,1,-12.859,1,0.0378,0.897,0.0182,0.13,0.201,83.769,audio_features,66EoHmD7DE7TEayzKQOolN,spotify:track:66EoHmD7DE7TEayzKQOolN,https://api.spotify.com/v1/tracks/66EoHmD7DE7TEayzKQOolN,https://api.spotify.com/v1/audio-analysis/66EoHmD7DE7TEayzKQOolN,239787,4,This Guy's In Love With You,Herb Alpert & The Tijuana Brass
0.624,0.695,11,-6.365,1,0.185,0.289,0.000259,0.144,0.787,122.938,audio_features,0qKCm8yeHoRJTpryDDQ9TT,spotify:track:0qKCm8yeHoRJTpryDDQ9TT,https://api.spotify.com/v1/tracks/0qKCm8yeHoRJTpryDDQ9TT,https://api.spotify.com/v1/audio-analysis/0qKCm8yeHoRJTpryDDQ9TT,191013,4,Tighten Up,Archie Bell & The Drells
0.78,0.351,4,-16.328,1,0.0459,0.319,5.16e-05,0.302,0.678,119.239,audio_features,1BZuxYKOocaZVmTJjHeCSE,spotify:track:1BZuxYKOocaZVmTJjHeCSE,https://api.spotify.com/v1/tracks/1BZuxYKOocaZVmTJjHeCSE,https://api.spotify.com/v1/audio-analysis/1BZuxYKOocaZVmTJjHeCSE,196173,4,Harper Valley P.T.A. - Re-Recording,Jeannie C. Riley
0.466,0.198,6,-20.681,1,0.0563,0.713,5.01e-06,0.0585,0.227,84.303,audio_features,5VKdlRg4PXPh8H1cpGo16C,spotify:track:5VKdlRg4PXPh8H1cpGo16C,https://api.spotify.com/v1/tracks/5VKdlRg4PXPh8H1cpGo16C,https://api.spotify.com/v1/audio-analysis/5VKdlRg4PXPh8H1cpGo16C,234960,4,Little Green Apples,O.C. Smith
0.592,0.834,2,-11.565,1,0.0334,0.322,0.0,0.364,0.809,130.967,audio_features,66ozGYa2jDBeh2aW8TsW8U,spotify:track:66ozGYa2jDBeh2aW8TsW8U,https://api.spotify.com/v1/tracks/66ozGYa2jDBeh2aW8TsW8U,https://api.spotify.com/v1/audio-analysis/66ozGYa2jDBeh2aW8TsW8U,174133,4,Mony Mony,Tommy James & The Shondells
0.473,0.732,2,-9.181,1,0.069,0.000752,0.0,0.833,0.902,117.203,audio_features,4uROF3wTMMIFsZbLGyR1AG,spotify:track:4uROF3wTMMIFsZbLGyR1AG,https://api.spotify.com/v1/tracks/4uROF3wTMMIFsZbLGyR1AG,https://api.spotify.com/v1/audio-analysis/4uROF3wTMMIFsZbLGyR1AG,159373,4,"Hello, I Love You - New Stereo Mix",The Doors
0.412,0.458,3,-11.767,1,0.0332,0.64,0.0,0.159,0.499,119.015,audio_features,4UY52Z4Oxl0nuHKcktLguw,spotify:track:4UY52Z4Oxl0nuHKcktLguw,https://api.spotify.com/v1/tracks/4UY52Z4Oxl0nuHKcktLguw,https://api.spotify.com/v1/audio-analysis/4UY52Z4Oxl0nuHKcktLguw,192933,4,Young Girl,Gary Puckett & The Union Gap
0.666,0.465,2,-11.785,1,0.0307,0.344,4.82e-06,0.497,0.771,132.808,audio_features,6e5dOtgCiKkITJxtWSuLBE,spotify:track:6e5dOtgCiKkITJxtWSuLBE,https://api.spotify.com/v1/tracks/6e5dOtgCiKkITJxtWSuLBE,https://api.spotify.com/v1/audio-analysis/6e5dOtgCiKkITJxtWSuLBE,152400,4,Cry Like a Baby,The Box Tops
0.557,0.448,9,-12.227,1,0.0308,0.2,0.0,0.175,0.733,93.658,audio_features,1bKQeepTAEYlpn8wpL7iDn,spotify:track:1bKQeepTAEYlpn8wpL7iDn,https://api.spotify.com/v1/tracks/1bKQeepTAEYlpn8wpL7iDn,https://api.spotify.com/v1/audio-analysis/1bKQeepTAEYlpn8wpL7iDn,206227,4,Stoned Soul Picnic,The 5th Dimension
0.699,0.655,6,-9.338,1,0.0474,0.0024,0.000149,0.109,0.774,134.955,audio_features,6go31e2qCJqcigRR1fTNtv,spotify:track:6go31e2qCJqcigRR1fTNtv,https://api.spotify.com/v1/tracks/6go31e2qCJqcigRR1fTNtv,https://api.spotify.com/v1/audio-analysis/6go31e2qCJqcigRR1fTNtv,163893,4,Midnight Confessions,The Grass Roots
0.699,0.526,0,-11.09,1,0.0877,0.0171,0.000632,0.9,0.805,128.193,audio_features,6q701mead1QEHZdRiTsGCe,spotify:track:6q701mead1QEHZdRiTsGCe,https://api.spotify.com/v1/tracks/6q701mead1QEHZdRiTsGCe,https://api.spotify.com/v1/audio-analysis/6q701mead1QEHZdRiTsGCe,177587,4,Dance to the Music,Sly & The Family Stone
0.552,0.421,2,-9.5,1,0.0265,0.789,0.0,0.282,0.632,85.523,audio_features,5jzqOYJmouDjfxlUw2u27f,spotify:track:5jzqOYJmouDjfxlUw2u27f,https://api.spotify.com/v1/tracks/5jzqOYJmouDjfxlUw2u27f,https://api.spotify.com/v1/audio-analysis/5jzqOYJmouDjfxlUw2u27f,199707,4,La-La Means I Love You,The Delfonics
0.634,0.848,8,-7.672,1,0.148,0.109,0.00427,0.134,0.911,82.648,audio_features,1IdOSNQ4TF1rNtXaHWl4qY,spotify:track:1IdOSNQ4TF1rNtXaHWl4qY,https://api.spotify.com/v1/tracks/1IdOSNQ4TF1rNtXaHWl4qY,https://api.spotify.com/v1/audio-analysis/1IdOSNQ4TF1rNtXaHWl4qY,171867,4,Judy In Disguise (With Glasses),John Fred & His Playboy Band
